uniform_number,player_name,position,bats,throws,ht,wt,yob
4,Boscarol Giacomo,UTL,R,R,187,87,1997
30,Cirucci Jose Gabriel,C/UTL,R,R,179,86,2000
7,Collado Jordano,UTL,S,R,180,114,1981
3,D'oriano Gioele,UTL,R,R,182,74,2001
27,Dalla Silvestra Matteo,P/UTL,L,L,185,88,2005
58,Di Michele Fanose,P/CF/UTL,R,R,170,60,2003
39,Diaz Denzel,P/UTL,R,R,173,66,2003
23,Garcia Almonte Anthony Gregory,OF/UTL,L,R,181,72,1993
50,Jimenez Gomez Elias,P/UTL,R,R,183,80,1993
25,Menotti Nicolò,LF/UTL,R,R,188,90,1997
62,Perez Ramon Leonardo,P/UTL,R,R,185,85,1998
14,SALCEDO GOMEZ ROGER,C/UTL,R,R,172,78,2003
35,Sassi Emanuele,C/UTL,R,R,182,85,2005
8,Serra Riccardo,RF/UTL,R,R,172,74,1998
60,TAVAREZ RICKY DE JESUS,C/UTL,R,R,170,73,2003
24,Tomasin Alberto,OF/UTL,R,R,181,85,1997
12,Vidili Andrea,DH/UTL,R,R,174,80,1999
24,Acerbi Edoardo,P,R,R,0,0,1998
5,Alfieri Leonardo,SS/IF,R,R,0,0,2002
29,Andreini Samuele,2B/SS/UTL,R,R,0,0,2007
88,Bellini Emanuele,C,R,R,0,0,2003
4,Benetti Davide,2B/3B,R,R,0,0,1994
25,Bertolini Romano,P,R,R,0,0,1995
13,Boschi Alessandro,2B/SS/UTL,R,R,0,0,2005
58,Boselli Davide,P/1B,L,L,0,0,2006
96,Codeluppi Elia,P,R,R,0,0,2006
98,Coffrini Luca,1B/3B/UTL,R,R,0,0,1998
8,Daddi Filippo,DH/OF,L,L,0,0,1999
30,Dallaturca Lorenzo,P,R,R,0,0,1988
50,Delmonte Tommaso,OF,R,R,0,0,1999
29,Ferrari Filippo,IF,R,R,0,0,2005
14,Gandolfi Andrea,UTL,R,R,0,0,1986
37,Grassani Davide,C,R,R,0,0,2006
56,Lori Maicol,1B,R,R,0,0,1991
2,Mantovani Pietro,OF,R,R,0,0,1995
62,Melegari Nicola,UTL,R,R,0,0,1998
10,Mordacci Lorenzo,RF,R,R,0,0,2005
77,Santana Payano Luis Manuel,P,R,R,0,0,1996
12,Schiaretti Andrea,UTL,R,R,0,0,2004
31,Sorrentino Fabio,C,R,R,0,0,2002
27,Trolli Davide,OF,R,R,0,0,1998
19,Aldegheri Mattia,P,R,R,0,0,1998
16,Astorri Cesare,IF,R,R,185,89,1998
12,Battioni Tommaso,IF,R,R,192,80,2000
46,Bocchi Matteo,P,R,R,193,100,1996
23,CONTRERAS ABREU Carlos Manuel,P,R,R,0,0,1991
2,De Leon Ramirez Anderson Alberto,P,R,R,,,1996
48,Desimoni Stefano,OF,L,L,0,0,1988
34,Fabiani Diego,P,R,R,0,0,1997
6,Flisi Riccardo,OF,R,R,183,85,1999
39,Gonzalez Sanamè Noel,UTL,L,R,0,0,1996
7,González Taveras Luís Manuel Junior,UTL,R,R,185,89,1994
72,GUILLEN DIAZ Pablo Luis,P,R,R,,,1998
13,Joseph Timo Manuel Marcelo,UTL,R,R,0,0,1994
11,Liddi Alex,UTL,R,R,193,102,1988
60,Lugo Lareschi Luis Eduardo,P,R,R,198,117,1994
36,Mineo Alberto,C,L,R,180,90,1994
15,Monello Giulio,C,R,R,180,85,1998
28,Orta Pedro Francisco,UTL,R,R,0,0,1982
51,Pasotto Andrea,OF,R,R,0,0,2001
26,Poma Sebastiano,OF,L,L,190,85,1993
35,Pomponi Francesco,P,R,R,0,0,2002
37,Rondon Sequera Danny Javier,P,R,R,183,74,1987
83,Sambucci Alex,1B,R,R,0,0,1989
41,Segreto Francesco,IF,R,R,0,0,2003
74,Wong Williams,2B,R,R,177,80,2005
10,Acosta Macuma Edgar Eduardo,UTL,R,R,0,0,2001
42,Alfinito Montecchi Simone,UTL,R,R,0,0,1997
14,Angelotti Torres Saul Giovanni,UTL,R,R,0,0,1989
29,Baraldi Scantamburlo Marco,UTL,R,R,0,0,1976
4,Bertolini Filippo,UTL,R,R,0,0,1989
25,Borghi Gabriele,UTL,R,R,0,0,1986
32,Carrasco Freionil,UTL,R,R,0,0,2007
7,Casali Matteo,UTL,R,R,0,0,2007
11,Ceriali Lorenzo Zeo,UTL,R,R,0,0,2000
16,Chirinos Guillen Felix Jesus,UTL,R,R,0,0,1992
5,Da Silva Romero Jesús Juvenal,UTL,R,R,178,80,2003
26,Espinosa Feliz Ruben Dario,UTL,R,R,0,0,1989
88,Faini Federico,UTL,R,R,0,0,1996
22,Foderaro Fabio,UTL,R,R,0,0,1983
56,Ganassi Davide,UTL,R,R,0,0,2006
85,MADAN MONTEJO Frank Edelmiro,UTL,R,R,178,95,1991
23,Nahr Cliyano Charles Elviro,UTL,R,R,,,2001
35,Perez Lo Giudice Luis Eduardo,UTL,R,R,0,0,2000
80,Puente Lacomba Luis Abraham,UTL,R,R,0,0,2001
34,Riccò Panciroli Fabio,UTL,R,R,0,0,1995
17,Riccò Panciroli Luca,UTL,R,R,0,0,1992
8,Sáenz Albornoz Alejandro Isaac,UTL,R,R,0,0,1999
15,Tejada Fernández Kevin Alberto,UTL,R,R,184,70,2002
84,Torelli Daniele,UTL,R,R,0,0,2007
47,Urena Sepulveda Victor Francisco,UTL,R,R,0,0,2003
48,Zanchi Enrico,UTL,R,R,0,0,1999
55,Bazzarini Simone,UTL,R,R,185,93,1994
23,Berini Stefano,UTL,R,R,178,80,1997
34,Bertoldi Nicholas,UTL,R,R,0,0,2004
16,Boscarol Thomas,UTL,R,R,0,0,2003
6,Cechet Ivan,UTL,R,R,183,97,1982
9,Da Re Giulio,UTL,R,R,180,80,2001
27,Furlan Daniele,UTL,R,R,180,80,1994
3,Furlani Luca,UTL,R,R,185,70,2000
5,Furlani Marco,UTL,R,R,181,64,2002
24,Gergolet Diego,UTL,R,R,180,75,2006
33,Gheno Pietro,UTL,R,R,170,60,1993
70,Ghergolet Marco,UTL,R,R,170,82,1998
12,Gonzales Hernandez Christofer,UTL,R,R,189,83,2003
7,Lubrano Andrea,UTL,R,R,0,0,2004
25,Miceu Mario,UTL,R,R,185,110,1990
2,Midena Mattia,UTL,R,R,0,0,2005
32,Nardi Francesco,UTL,R,R,179,82,1985
19,Pilutti Massimo,UTL,R,R,187,95,2001
33,Pilutti Paolo,UTL,R,R,0,0,2005
11,Pizzolini Marco,UTL,R,R,180,74,2000
22,RODRIGUEZ SEGOVIA Hector Tulio,UTL,R,R,189,85,1997
14,RUIZ TORRES Jean Carlos,UTL,R,R,185,84,1996
63,Santin Daniele,UTL,R,R,185,73,1991
31,Serra Alessandro,UTL,R,R,162,63,2002
47,Stabile Pietro,UTL,R,R,185,75,2000
80,Agostinello Filippo,UTL,R,R,0,0,2000
40,ASCANIO MENDEZ Manuel Josè,UTL,R,R,,,2000
18,Bernardi Andrea,UTL,R,R,0,0,2003
38,Bottazzi Tommaso,UTL,R,R,0,0,2006
1,Bravo Riquene Humberto,UTL,R,R,0,0,1992
15,Brusaferro Nicolò,UTL,R,R,0,0,2003
17,Buin Enrico,UTL,R,R,185,0,2003
36,Crepaldi Enrico,UTL,L,L,0,0,1987
22,Ferrari Mirko,UTL,R,R,0,0,1986
24,Frigato Giorgio,UTL,R,R,0,0,2005
33,Frigato Alessandro,UTL,L,L,0,0,2000
45,Gonzalez Alberto,UTL,R,R,0,0,2001
4,Greggio Manuel,UTL,R,R,0,0,2003
90,Javier Diaz Daury,UTL,R,R,0,0,2001
77,Lavezzo Tommaso,UTL,R,R,0,0,2000
16,Nosti Nicholas Gidon,UTL,R,R,0,0,1985
52,Pietrogrande Pablo,UTL,R,R,0,0,1996
2,Pillon Riccardo,UTL,R,R,0,0,2006
8,Rizzati Giovanni,UTL,R,R,0,0,2005
9,Russo Vincenzo,UTL,R,R,0,0,2006
31,Salvatore Enrico,UTL,R,R,0,0,1996
20,Sandalo Marco,UTL,R,R,0,0,1987
32,Stocco Marco,UTL,R,R,0,0,2003
10,Taschin Lorenzo,UTL,R,R,0,0,2003
12,Taschin Giacomo,UTL,L,L,180,79,2006
25,Agretti Filippo,UTL,S,R,0,0,1995
26,Albert Shakir Achmed Girigorie,UTL,R,R,185,90,1996
77,Andretta Maurizio,UTL,R,R,0,0,1998
80,Bassani Alex,UTL,R,R,173,85,1990
14,Bertossi Riccardo,UTL,R,R,170,78,2000
42,Civit San Martin Marc,UTL,R,R,183,68,2002
19,Crepaldi Filippo,UTL,R,R,181,87,1992
31,Cuomo Joseph Anthony,UTL,R,R,,,1998
9,Deotto Alessandro,UTL,R,R,0,0,1995
39,Dobboletta Lorenzo,UTL,R,R,0,0,1994
1,Dreni Julian,UTL,R,R,0,0,2000
22,Fuzzi Francesco,UTL,R,R,0,0,1985
70,Gamberini Samuele,UTL,R,R,180,100,2003
4,Garcia Rodriguez Robel Estiwal,UTL,R,R,0,0,1993
18,Helder Eugene Alexander Junior,UTL,R,R,178,90,1996
10,Josephina Kevin Carl Michael,UTL,R,R,185,80,1996
30,Liberatore Ernesto Paolo,UTL,R,R,0,0,1996
24,Liverziani Claudio,UTL,R,R,0,0,1975
16,LOPEZ NUÑEZ Porfirio Antonio,UTL,R,R,179,90,1990
55,Molina Brito Cristopher Junior,UTL,R,R,,,1997
6,Paolini Ricardo Segundo,UTL,R,R,0,0,1999
75,Rivero Pereda Raul Jose,UTL,R,R,0,0,1986
15,Robles Martin Federico Nicolas,UTL,R,R,175,70,1993
17,Scotti Claudio,UTL,R,R,0,0,1998
0,Seferina Darren Ferdinand,UTL,R,R,,,1994
35,Suarez Petrillo Pablo José,UTL,R,R,0,0,1988
25,Alberi Luca,OF,R,R,0,0,1990
18,Bacciocchi Andrea,1B,R,R,0,0,1998
24,Boccardi Matthew,UTL,R,R,0,0,1993
52,Boriotti Andrea,OF,R,R,0,0,2002
23,Caimmi Mattia,UTL,R,R,0,0,2000
5,Corio Giuseppe,UTL,R,R,0,0,1993
22,Gabbari Francesco,P,R,R,0,0,2003
3,Giancone Mirko,UTL,R,R,0,0,2008
38,Gintili Talon Luigi,UTL,R,R,0,0,2004
6,Locatelli Lorenzo,OF,R,R,0,0,2000
2,Marchini Mariano,UTL,R,R,,,1972
53,Nani Tommaso,UTL,R,R,0,0,2003
31,PAREDES SANCHEZ EDWARD VALENTINO ESTEFANO,P,R,R,,,1999
7,Penaloza Crisafi Carmelo Jose,UTL,R,R,0,0,1987
42,Raimondi Riccardo,OF,R,R,0,0,2003
19,Rasoira Matteo,UTL,R,R,0,0,1993
12,Riello Quiroga Kevin Leonardo,P,R,R,0,0,1997
28,Severino Familia Brian Antonio,UTL,R,R,0,0,2002
21,Speziali Luca,UTL,R,R,0,0,1999
29,Speziali Marco,UTL,R,R,0,0,1996
10,Uttini Edoardo,P,R,L,0,0,2003
50,Bruno Samuele,OF,R,R,183,80,2003
17,Bucchi Mattia,2B,R,R,185,103,1987
31,Canellini Davide,P,L,L,180,90,1994
16,Casadio Antonio,C/OF,R,R,0,0,2005
8,Casadio Matteo,3B,R,R,0,0,2006
39,Focchi Riccardo,P,R,R,185,78,2001
12,Freddi Luca,P,R,R,178,85,1993
6,Fuzzi Daniele,1B,R,R,178,83,1980
53,Galeotti Matteo,P,R,R,185,90,1981
22,Galli Samuele,UTL,R,R,184,92,2001
9,Geminiani Raffaele,C,R,R,0,0,2008
15,Laghi Cristian,OF,R,R,178,77,2005
26,Meriggi Giacomo,OF,R,R,187,92,1991
2,Minghelli Radolovich Nicolò,OF,R,R,171,84,1995
23,Monari Eugenio,UTL,R,R,180,85,1984
44,Orselli Manuel,2B/UTL,R,R,0,0,2004
19,Piumatti Gabriele,P/UTL,R,R,185,85,1995
56,Rodriguez Acosta Dariel,C/1B,R,R,175,100,1996
57,Rodriguez Salas José Alexander,P,R,R,0,0,1995
