uniform_number,player_name,position,bats,throws,ht,wt,yob
49,Torres Fidel,UTL,R,R,0,0,1970
0,Villatoro Hernández Fernando José,UTL,R,R,0,0,1985
21,Abete Nicolás,P/1B/OF,R,R,0,0,2003
70,Andueza David,UTL,R,R,0,0,2004
24,Aristu Martín,UTL,R,R,0,0,2004
27,Armendáriz Marcos,UTL,R,R,0,0,2003
45,Arrese Pablo,UTL,R,R,0,0,2000
0,Arza Joaquín,UTL,R,R,0,0,1965
99,Calvo Lucas,IF,R,R,0,0,2004
13,Echeverría David,UTL,R,R,185,74,2004
0,Erroz Miguel,UTL,R,R,0,0,1974
15,Escolano Héctor,OF,R,R,0,0,2001
0,Escolano Adrián,UTL,L,L,0,0,1998
51,Macías Yelco,UTL,R,R,0,0,2005
0,Martínez Fran,UTL,R,R,0,0,2004
8,Onieva Iker,UTL,R,R,0,0,2005
7,San Miguel Diego,UTL,R,R,184,77,2005
39,Sánchez Izan,UTL,R,R,0,0,2006
14,Santesteban Mikel,IF,R,R,0,0,2003
22,Sanz Jesús,IF,R,R,0,0,2003
5,Seco Damian,UTL,R,R,0,0,2004
25,Villamayor Pablo,C,R,R,0,0,2003
0,Alconchel Marcos,UTL,R,R,192,88,2004
0,Bedoya Alain,UTL,R,R,0,0,1984
0,Brouwer Rubén,UTL,R,R,0,0,2005
0,Castán Jonathan,UTL,R,R,0,0,1982
0,Centeno Luis,UTL,R,R,0,0,2002
0,Domínguez Álvaro,UTL,R,R,0,0,1998
0,Escobar Yender,UTL,R,R,0,0,2001
0,Galipoli Marin Pedro Alejandro,UTL,R,R,0,0,2001
0,Hernández Lionel,UTL,R,R,0,0,1986
0,Jirón Miguel Ángel,UTL,R,R,0,0,1996
0,López Marco,UTL,R,R,0,0,2005
0,López Luís,UTL,R,R,0,0,2004
0,Mairal Jorge,P,R,R,182,70,2003
0,Martín Jorge,IF,R,R,0,0,2005
0,Mendoza Jefferson,UTL,R,R,0,0,2004
0,Perozo Héctor,UTL,R,R,0,0,1983
0,Pinilla Pablo,UTL,R,R,0,0,2005
0,Pueyo Pablo,C/UTL,R,R,0,0,2001
0,Quintana Leirán,UTL,R,R,0,0,1990
0,Solenzal Sadiel,UTL,R,L,0,0,2003
0,Tabares Christian,UTL,R,R,0,0,2006
0,Vásquez Larry,UTL,R,R,0,0,2002
8,Albes Ander,UTL,R,R,182,65,2001
0,Arévalo Digney,UTL,R,R,0,0,1998
11,Arza Marcos,SS,R,R,0,0,1996
12,Bermúdez Josef,UTL,R,R,0,0,2000
0,Caballero Iban,UTL,R,R,0,0,2006
0,Caño Unai,UTL,R,R,0,0,2007
1,Carmona Christopher,UTL,R,R,0,0,2003
0,Casado Pedro,UTL,R,R,0,0,1991
0,Celaya Daniel,UTL,R,R,0,0,1988
0,Cuenca Xavier,UTL,R,R,0,0,2004
0,Fernández Rubén,UTL,R,R,178,74,2001
41,Fresa Teudis,UTL,R,R,0,0,1995
9,García Jhon,UTL,L,R,0,0,1999
0,García Aritz,UTL,R,R,0,0,1989
10,Gonzalez Dayron,UTL,R,R,0,0,1993
17,Hernández Jorge,P,R,R,0,0,1986
24,Lertxundi Pablo,UTL,R,R,0,0,1998
4,Magaña Jon,OF,R,R,0,0,2001
0,Muñoz Ibai,UTL,R,R,0,0,2006
15,Nazar Ricardo,OF,R,R,0,0,1994
0,Otazu Erik,UTL,R,R,0,0,2007
0,Reyes Víctor,OF/UTL,R,R,0,0,2000
0,Reyes René,UTL,R,R,0,0,1975
13,Rodríguez Reinaldo,P,L,L,0,0,1989
16,San Martín Jon,UTL,R,R,0,0,1998
3,Sánchez Joel,P,L,L,0,0,2002
0,Sousa Carlos,UTL,R,R,0,0,1994
0,Varela Adrián,UTL,R,R,0,0,2002
0,Villanueva Ibai,UTL,R,R,0,0,2007
0,Zambrano Jonathan,P/UTL,L,L,0,0,1994
21,Alcalá Diego,UTL,S,L,167,51,2007
3,Amador Jaime,OF/UTL,R,R,0,0,2000
6,Blanco Miguel,3B/UTL,R,R,0,0,2005
27,Bordanoba Joan,P,R,R,0,0,2000
45,Burguillos Wendell,OF,R,R,0,0,2003
15,Burguillos José Antonio,UTL,R,R,0,0,1980
5,Castaño Joaquín,P,R,R,0,0,1995
0,Fente Rubén,UTL,R,R,0,0,1989
