uniform_number,player_name,position,bats,throws,ht,wt,yob
11,POSTELMANS Koen,P,R,R,189,85,2000
0,RIJPSTRA Thijs,P,R,R,0,0,2002
0,RIJPSTRA Wouter,IF,R,R,0,0,2004
0,ROMGENS Rens,IF,R,R,0,0,2004
30,RUBEN Berend,IF,R,R,0,0,1986
27,RUBEN Marnix,OF,R,R,0,0,2001
10,SAMBOE Jairo,P,L,L,0,0,1999
55,SCHOLTEN James,P,R,R,0,0,1980
0,Schoonheydt Stefan,OF,R,R,0,0,2002
44,VAN DEN HURK Jan,P/2B,R,R,0,0,1999
0,VAN DULKEN Ben,IF,R,R,0,0,2001
23,VAN GOOL Jerzy,IF,R,R,0,0,1998
3,VAN GOOL Onne,IF,R,L,0,0,2001
1,VAN HEESCH Dick,C,R,R,0,0,1997
0,VAN UDEN Dean,IF,R,R,0,0,2004
8,VAN ZALINGEN Gijs,OF,R,R,0,0,2002
34,VISSER Luuk,OF,R,R,0,0,1994
19,WOLS Lucas,C,R,R,0,0,2002
16,BEKKER Lucas,IF,R,R,0,0,1999
17,BULTHUIS Parker,C,R,R,0,0,2003
25,CALLISTE J'mar,C,R,R,0,0,2004
10,CARDINAL Nik,P,L,R,0,0,1997
9,Cotton Quin,OF,R,R,0,0,1998
34,CREMER Mees,IF,R,R,0,0,1995
14,ESPINAL Jorge,OF,L,R,0,0,1999
18,HELMS Allard,P,R,R,195,85,2004
23,HUTZEZON Ingmar,P,R,R,0,0,2003
11,ISENIA Aaron,P,L,L,0,0,2000
3,JANSEN Daan,OF,R,R,0,0,1999
6,KORTSTAM Raoell,OF,R,R,0,0,1992
0,KUIJER Arjan,OF,R,R,0,0,1987
8,KUIPERS Stefan,IF,R,R,0,0,2000
21,MARLIN Malcolm,IF,R,R,0,0,1999
12,ROJAS Timothy,IF,S,R,0,0,2002
26,TAKKE Tijmen,IF,S,R,198,89,1999
36,VAN DEN BRINK Gijs,P,R,L,195,86,2005
27,VAN DER MEER Sam,P,R,R,0,0,1996
0,VAN DOMMELEN Menno,IF,R,R,0,0,1995
28,VAN TIELRADEN Etienne,C,R,R,0,0,1994
13,VAN ZIJL Jurjen,P,R,R,0,0,1984
38,WEBB Emon,IF,R,R,0,0,1996
7,WHEAT Ryan,IF,L,R,0,0,1992
77,WILLEMS Reangelo,P,S,R,0,0,1994
15,WINKEL Roy,OF,R,R,0,0,1992
29,WOUT Sean,P,R,R,0,0,1992
54,ANGELA Nelmerson,P,L,L,0,0,1998
21,BENNETT Michael,P,R,R,183,90,1993
10,BERKENBOSCH Kenny,OF,R,R,192,103,1985
4,CREMER Jules,C,R,R,185,84,1997
53,DE CUBA Quintin,IF,L,L,188,86,1987
15,FARLEY Dylan,P,L,L,190,104,2001
9,HENRIQUE Roelie,OF,S,R,185,75,1990
1,JAKOBUS Jason,OF,R,R,175,69,1986
42,JANSEN Wesley,OF,L,L,0,0,2001
6,KEMP Urving,OF,R,R,0,0,1993
50,KEYZER Jenseley,P,R,R,0,0,2000
16,KRAGT Finn,P,R,R,196,78,2003
66,KRAGT Naut,P,R,R,190,80,2001
27,LACHKAR Yassir,P,R,R,188,93,2001
13,MADERA Alex,IF,R,R,177,80,1997
24,MARTIE Yurdion Franklin,C,R,R,0,0,1999
43,MEYER Ben,P,R,R,190,99,1997
12,NUIJTEN Duco,IF,R,R,195,95,1997
33,PASTOR Luca,C,R,R,184,82,2003
28,PENSEEL Jorrit,IF,R,R,189,102,2000
32,PRINS Scott,P,R,R,193,82,2001
31,RAMMELOO Casper,P,R,R,0,0,2004
8,RICHARDSON Denzel,OF,R,R,191,107,1994
17,RIETEL Maickel,P,R,R,193,80,1995
3,SCHOONDERWOERD Martijn,P,R,R,0,0,1997
